rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b predecessor ?a ?b spouse ?a => ?a spouse ?b,?b predecessor ?a  ?b spouse ?a,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?a mother ?f ?f spouse ?b => ?a father ?b,?a mother ?f  ?f spouse ?b,?a father ?b,0.749240122,0.883512545,0.888288288,493,558,555,?a
?a predecessor ?b ?b spouse ?a => ?a spouse ?b,?a predecessor ?b  ?b spouse ?a,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?e child ?a ?e spouse ?b => ?a father ?b,?e child ?a  ?e spouse ?b,?a father ?b,0.372340426,0.102941176,0.349500713,245,2380,701,?a
?b child ?f ?f predecessor ?a => ?a spouse ?b,?b child ?f  ?f predecessor ?a,?a spouse ?b,0.088541667,0.205645161,0.267716535,102,496,381,?a
?b child ?f ?f mother ?a => ?a spouse ?b,?b child ?f  ?f mother ?a,?a spouse ?b,0.173611111,0.522193211,0.534759358,200,383,374,?a
?f mother ?a ?b successor ?f => ?a spouse ?b,?f mother ?a  ?b successor ?f,?a spouse ?b,0.122395833,0.447619048,0.474747475,141,315,297,?a
?f parent ?a ?b successor ?f => ?a spouse ?b,?f parent ?a  ?b successor ?f,?a spouse ?b,0.142361111,0.24082232,0.265372168,164,681,618,?a
?b child ?f ?a successor ?f => ?a spouse ?b,?b child ?f  ?a successor ?f,?a spouse ?b,0.088541667,0.205645161,0.267716535,102,496,381,?a
?a child ?f ?b child ?f => ?a spouse ?b,?a child ?f  ?b child ?f,?a spouse ?b,0.201388889,0.347826087,0.365354331,232,667,635,?a
?b child ?f ?f parent ?a => ?a spouse ?b,?b child ?f  ?f parent ?a,?a spouse ?b,0.335069444,0.488607595,0.50990753,386,790,757,?a
?b child ?f ?f father ?a => ?a spouse ?b,?b child ?f  ?f father ?a,?a spouse ?b,0.152777778,0.44556962,0.474393531,176,395,371,?a
?a child ?f ?b successor ?f => ?a spouse ?b,?a child ?f  ?b successor ?f,?a spouse ?b,0.088541667,0.205645161,0.216101695,102,496,472,?a
?f parent ?b ?a successor ?f => ?a spouse ?b,?f parent ?b  ?a successor ?f,?a spouse ?b,0.142361111,0.24082232,0.354211663,164,681,463,?a
?a child ?f ?f predecessor ?b => ?a spouse ?b,?a child ?f  ?f predecessor ?b,?a spouse ?b,0.088541667,0.205645161,0.216101695,102,496,472,?a
?a child ?f ?f mother ?b => ?a spouse ?b,?a child ?f  ?f mother ?b,?a spouse ?b,0.173611111,0.522193211,0.533333333,200,383,375,?a
?a child ?f ?f parent ?b => ?a spouse ?b,?a child ?f  ?f parent ?b,?a spouse ?b,0.335069444,0.488607595,0.50990753,386,790,757,?a
?f mother ?b ?a successor ?f => ?a spouse ?b,?f mother ?b  ?a successor ?f,?a spouse ?b,0.122395833,0.447619048,0.632286996,141,315,223,?a
?e mother ?b ?e predecessor ?a => ?a spouse ?b,?e mother ?b  ?e predecessor ?a,?a spouse ?b,0.122395833,0.447619048,0.632286996,141,315,223,?a
?e father ?a ?e mother ?b => ?a spouse ?b,?e father ?a  ?e mother ?b,?a spouse ?b,0.342013889,0.920560748,0.992443325,394,428,397,?a
?e father ?a ?e parent ?b => ?a spouse ?b,?e father ?a  ?e parent ?b,?a spouse ?b,0.346354167,0.407142857,0.496268657,399,980,804,?a
?e mother ?b ?e parent ?a => ?a spouse ?b,?e mother ?b  ?e parent ?a,?a spouse ?b,0.344618056,0.454753723,0.495630462,397,873,801,?a
?a child ?f ?f father ?b => ?a spouse ?b,?a child ?f  ?f father ?b,?a spouse ?b,0.152777778,0.44556962,0.475675676,176,395,370,?a
?e mother ?a ?e predecessor ?b => ?a spouse ?b,?e mother ?a  ?e predecessor ?b,?a spouse ?b,0.122395833,0.447619048,0.474747475,141,315,297,?a
?e mother ?a ?e parent ?b => ?a spouse ?b,?e mother ?a  ?e parent ?b,?a spouse ?b,0.345486111,0.455899198,0.495641345,398,873,803,?a
?e parent ?a ?e parent ?b => ?a spouse ?b,?e parent ?a  ?e parent ?b,?a spouse ?b,0.702256944,0.417225374,0.495710784,809,1939,1632,?a
?e parent ?a ?e predecessor ?b => ?a spouse ?b,?e parent ?a  ?e predecessor ?b,?a spouse ?b,0.142361111,0.24082232,0.265372168,164,681,618,?a
?b child ?a ?b successor ?a => ?a parent ?b,?b child ?a  ?b successor ?a,?a parent ?b,0.115415658,0.697560976,0.715,143,205,200,?b
?e father ?b ?e mother ?a => ?a spouse ?b,?e father ?b  ?e mother ?a,?a spouse ?b,0.342881944,0.922897196,0.989974937,395,428,399,?a
?e parent ?b ?e predecessor ?a => ?a spouse ?b,?e parent ?b  ?e predecessor ?a,?a spouse ?b,0.142361111,0.24082232,0.354211663,164,681,463,?a
?b child ?a ?a predecessor ?b => ?a parent ?b,?b child ?a  ?a predecessor ?b,?a parent ?b,0.115415658,0.697560976,0.715,143,205,200,?b
?b spouse ?f ?f successor ?a => ?a parent ?b,?b spouse ?f  ?f successor ?a,?a parent ?b,0.134786118,0.346473029,0.467787115,167,482,357,?b
?e father ?b ?e parent ?a => ?a spouse ?b,?e father ?b  ?e parent ?a,?a spouse ?b,0.347222222,0.408163265,0.496277916,400,980,806,?a
?a predecessor ?f ?b spouse ?f => ?a parent ?b,?a predecessor ?f  ?b spouse ?f,?a parent ?b,0.134786118,0.346473029,0.467787115,167,482,357,?b
?a father ?f ?b spouse ?f => ?a parent ?b,?a father ?f  ?b spouse ?f,?a parent ?b,0.402744149,0.737075332,0.884751773,499,677,564,?b
?f child ?a ?b spouse ?f => ?a parent ?b,?f child ?a  ?b spouse ?f,?a parent ?b,0.426957224,0.222268908,0.275234131,529,2380,1922,?b
?a mother ?f ?b spouse ?f => ?a parent ?b,?a mother ?f  ?b spouse ?f,?a parent ?b,0.399515738,0.888689408,0.957446809,495,557,517,?b
?a parent ?f ?b spouse ?f => ?a parent ?b,?a parent ?f  ?b spouse ?f,?a parent ?b,0.81275222,0.807538091,0.922161172,1007,1247,1092,?b
?a mother ?f ?f spouse ?b => ?a parent ?b,?a mother ?f  ?f spouse ?b,?a parent ?b,0.400322841,0.888888889,0.957528958,496,558,518,?b
?a predecessor ?f ?f spouse ?b => ?a parent ?b,?a predecessor ?f  ?f spouse ?b,?a parent ?b,0.134786118,0.346473029,0.467787115,167,482,357,?b
?a father ?f ?f spouse ?b => ?a parent ?b,?a father ?f  ?f spouse ?b,?a parent ?b,0.401937046,0.735598227,0.884547069,498,677,563,?b
?e spouse ?b ?e successor ?a => ?a parent ?b,?e spouse ?b  ?e successor ?a,?a parent ?b,0.134786118,0.346473029,0.467787115,167,482,357,?b
?b father ?a ?b predecessor ?a => ?a child ?b,?b father ?a  ?b predecessor ?a,?a child ?b,0.069056405,0.770588235,0.935714286,131,170,140,?b
?b parent ?a ?b predecessor ?a => ?a child ?b,?b parent ?a  ?b predecessor ?a,?a child ?b,0.075382182,0.733333333,0.899371069,143,195,159,?b
?b father ?a ?a successor ?b => ?a child ?b,?b father ?a  ?a successor ?b,?a child ?b,0.069056405,0.770588235,0.935714286,131,170,140,?b
?b parent ?a ?a successor ?b => ?a child ?b,?b parent ?a  ?a successor ?b,?a child ?b,0.075382182,0.733333333,0.899371069,143,195,159,?b
?e child ?a ?e spouse ?b => ?a parent ?b,?e child ?a  ?e spouse ?b,?a parent ?b,0.426957224,0.222268908,0.275234131,529,2380,1922,?b
?b predecessor ?f ?f spouse ?a => ?a child ?b,?b predecessor ?f  ?f spouse ?a,?a child ?b,0.05904059,0.232365145,0.286445013,112,482,391,?b
?a parent ?f ?f spouse ?b => ?a parent ?b,?a parent ?f  ?f spouse ?b,?a parent ?b,0.81275222,0.806891026,0.922161172,1007,1248,1092,?b
?b predecessor ?f ?a spouse ?f => ?a child ?b,?b predecessor ?f  ?a spouse ?f,?a child ?b,0.05904059,0.232365145,0.286445013,112,482,391,?b
?b mother ?f ?a spouse ?f => ?a child ?b,?b mother ?f  ?a spouse ?f,?a child ?b,0.144438587,0.491921005,0.663438257,274,557,413,?b
?b mother ?f ?f spouse ?a => ?a child ?b,?b mother ?f  ?f spouse ?a,?a child ?b,0.144438587,0.491039427,0.663438257,274,558,413,?b
?a child ?f ?b predecessor ?f => ?a child ?b,?a child ?f  ?b predecessor ?f,?a child ?b,0.023721666,0.105882353,0.12195122,45,425,369,?b
?b father ?f ?f spouse ?a => ?a child ?b,?b father ?f  ?f spouse ?a,?a child ?b,0.130732736,0.366322009,0.481553398,248,677,515,?b
?b parent ?f ?f spouse ?a => ?a child ?b,?b parent ?f  ?f spouse ?a,?a child ?b,0.27886136,0.423878205,0.562765957,529,1248,940,?b
?b parent ?f ?a spouse ?f => ?a child ?b,?b parent ?f  ?a spouse ?f,?a child ?b,0.27886136,0.424218123,0.562765957,529,1247,940,?b
?b father ?f ?a spouse ?f => ?a child ?b,?b father ?f  ?a spouse ?f,?a child ?b,0.130732736,0.366322009,0.481553398,248,677,515,?b
?a spouse ?e ?e successor ?b => ?a child ?b,?a spouse ?e  ?e successor ?b,?a child ?b,0.05904059,0.232365145,0.286445013,112,482,391,?b
?a child ?f ?f successor ?b => ?a child ?b,?a child ?f  ?f successor ?b,?a child ?b,0.023721666,0.105882353,0.12195122,45,425,369,?b
?e spouse ?a ?e successor ?b => ?a child ?b,?e spouse ?a  ?e successor ?b,?a child ?b,0.05904059,0.232365145,0.286445013,112,482,391,?b
?a successor ?f ?f type ?b => ?a type ?b,?a successor ?f  ?f type ?b,?a type ?b,0.180009046,1.0,1.0,398,398,398,?a
?a mother ?f ?f type ?b => ?a type ?b,?a mother ?f  ?f type ?b,?a type ?b,0.241519674,1.0,1.0,534,534,534,?a
?e child ?b ?a spouse ?e => ?a child ?b,?e child ?b  ?a spouse ?e,?a child ?b,0.493410648,0.393277311,0.393277311,936,2380,2380,?b
?a predecessor ?f ?f type ?b => ?a type ?b,?a predecessor ?f  ?f type ?b,?a type ?b,0.169154229,1.0,1.0,374,374,374,?a
?a parent ?f ?f type ?b => ?a type ?b,?a parent ?f  ?f type ?b,?a type ?b,0.308457711,1.0,1.0,682,682,682,?a
?a child ?f ?f type ?b => ?a type ?b,?a child ?f  ?f type ?b,?a type ?b,0.193125283,1.0,1.0,427,427,427,?a
?e child ?b ?e spouse ?a => ?a child ?b,?e child ?b  ?e spouse ?a,?a child ?b,0.493410648,0.393277311,0.393277311,936,2380,2380,?b
?e mother ?a ?e type ?b => ?a type ?b,?e mother ?a  ?e type ?b,?a type ?b,0.196743555,1.0,1.0,435,435,435,?a
?e predecessor ?a ?e type ?b => ?a type ?b,?e predecessor ?a  ?e type ?b,?a type ?b,0.180009046,1.0,1.0,398,398,398,?a
?e successor ?a ?e type ?b => ?a type ?b,?e successor ?a  ?e type ?b,?a type ?b,0.169154229,1.0,1.0,374,374,374,?a
?a father ?f ?f type ?b => ?a type ?b,?a father ?f  ?f type ?b,?a type ?b,0.297602895,1.0,1.0,658,658,658,?a
?e father ?a ?e type ?b => ?a type ?b,?e father ?a  ?e type ?b,?a type ?b,0.244685663,1.0,1.0,541,541,541,?a
?a spouse ?f ?f type ?b => ?a type ?b,?a spouse ?f  ?f type ?b,?a type ?b,0.443238354,1.0,1.0,980,980,980,?a
?e spouse ?a ?e type ?b => ?a type ?b,?e spouse ?a  ?e type ?b,?a type ?b,0.443238354,1.0,1.0,980,980,980,?a
?e parent ?a ?e type ?b => ?a type ?b,?e parent ?a  ?e type ?b,?a type ?b,0.459972863,1.0,1.0,1017,1017,1017,?a
?e child ?a ?e type ?b => ?a type ?b,?e child ?a  ?e type ?b,?a type ?b,0.638172773,1.0,1.0,1411,1411,1411,?a
